lon,lat,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,tipo
-57.583333333333336,-14.583333333333329,74.8887710571289,116.3356704711914,31.977998733520508,25.632457733154297,1697,294,10,799,64,Background amazônico
-68.25,-10.916666666666664,69.68318939208984,89.74180603027344,31.870498657226563,25.861083984375,1683,262,27,538,102,Background amazônico
-69.75,-10.749999999999996,72.82194519042969,83.921630859375,31.355998992919922,25.038541793823242,1666,229,21,579,78,Background amazônico
-45.41666666666667,-1.4166666666666643,83.69780731201172,37.12318801879883,31.308298110961914,26.260650634765625,2243,447,9,81,1168,Background amazônico
-54.91666666666667,1.0833333333333357,81.43701171875,55.43341064453125,31.420000076293945,24.844165802001953,2125,352,59,202,641,Background amazônico
-51.083333333333336,-7.08333333333333,74.597198486328125,31.91489028930664,32.879249572753906,24.158082962036133,1973,294,13,343,770,Background amazônico
-50.25,-3.0833333333333304,85.0110092163086,44.378883361816406,32.03200149536133,25.712291717529297,2407,443,39,197,1176,Background amazônico
-54.41666666666667,-7.2499999999999964,70.67644500732422,41.01142501831055,33.74300003051758,25.14408302307129,2196,341,13,310,1011,Background amazônico
-68.25,-2.9166666666666643,85.53485870361328,36.758968353271484,31.201250076293945,25.877792358398438,3105,309,184,767,768,Background amazônico
-52.91666666666667,-1.5833333333333304,81.67082214355469,61.74102020263672,32.40650177001953,26.071125030517578,1789,290,31,121,640,Background amazônico
-51.583333333333336,-9.08333333333333,71.93596649169922,37.450286865234375,33.54199981689453,24.697500228881836,1967,305,8,324,72,Background amazônico
-55.75,-0.7499999999999973,80.05892181396484,61.632999420166016,31.65825080871582,25.102582931518555,2469,372,110,348,822,Background amazônico
-64.91666666666667,-4.58333333333333,84.536529541015625,27.00992202758789,32.03300094604492,26.430376052856445,2308,297,90,473,402,Background amazônico
-46.083333333333336,-5.2499999999999964,75.50064849853516,63.18954849243164,32.613250732421875,24.949459075927734,1122,223,9,149,92,Background amazônico
-60.75,-6.416666666666664,77.31877136230469,33.549564361572266,33.31975173950195,26.498790740966797,2507,339,46,554,1004,Background amazônico
-47.583333333333336,-3.0833333333333304,84.397613525390625,43.40176773071289,31.774499893188477,25.524749755859375,1966,383,44,184,972,Background amazônico
-54.41666666666667,-4.916666666666664,76.74385833740234,46.360347747802734,31.88224983215332,24.709999084472656,1827,312,29,287,849,Background amazônico
-55.41666666666667,-12.583333333333329,72.72753143310547,78.67095947265625,32.8802490234375,24.646291732788086,1904,332,1,761,23,Background amazônico
-69.08333333333333,-4.7499999999999964,81.93342590332031,38.861053466796875,31.273000717163086,26.019332885742188,2644,307,109,605,479,Background amazônico
