especie_padrao,especie,lon,lat,fonte,origem,id_origem,bio3_isotermalidade,bio4_sazonalidade_temperatura,bio5_temp_max_mes_quente,bio8_temp_media_trimestre_umido,bio12_precipitacao_anual,bio13_precipitacao_mes_umido,bio14_precipitacao_mes_seco,bio18_precipitacao_trimestre_quente,bio19_precipitacao_trimestre_frio,celula_raster
Dinizia excelsa,Dinizia excelsa Ducke,-51.36,1.35,Inventario_ou_base_local,Arquivo local,NA,76.36022186279297,72.65238189697266,32.20750045776367,25.54341697692871,2421,344,42,153,923,4368
Dinizia excelsa,Dinizia excelsa Ducke,-51.71,2.48,Inventario_ou_base_local,Arquivo local,NA,76.53456115722656,65.8624496459961,32.22249984741211,25.34612464904785,2635,381,55,201,910,3262
Dinizia excelsa,Dinizia excelsa Ducke,-51.04,2.21,Inventario_ou_base_local,Arquivo local,NA,73.94593811035156,73.14632415771484,32.58124923706055,25.90541648864746,2656,383,42,161,958,3450
Dinizia excelsa,Dinizia excelsa Ducke,-52.45,0.9,Inventario_ou_base_local,Arquivo local,NA,79.90779113769531,65.03289794921875,32.054500579833984,25.42104148864746,2393,320,63,210,829,4914
Dinizia excelsa,Dinizia excelsa Ducke,-51.18,3.24,Inventario_ou_base_local,Arquivo local,NA,74.10740661621094,62.537696838378906,32.94974899291992,25.947250366210938,2955,437,52,208,1040,2345
Dinizia excelsa,Dinizia excelsa Ducke,-51.31,2.93,Inventario_ou_base_local,Arquivo local,NA,75.12821197509766,64.55435943603516,32.60350036621094,25.786209106445313,2844,423,51,188,1008,2713
Dinizia excelsa,Dinizia excelsa Ducke,-51.899289,0.129209,Inventario_ou_base_local,Arquivo local,NA,80.16618347167969,64.46949768066406,32.22650146484375,25.686708450317383,2389,330,47,183,882,5837
Dinizia excelsa,Dinizia excelsa Ducke,-51.18,1.76,Inventario_ou_base_local,Arquivo local,NA,75.20294189453125,73.1820297241211,32.3432502746582,25.714458465576172,2505,358,40,154,943,4001
Dinizia excelsa,Dinizia excelsa Ducke,-51.4,2.39,Inventario_ou_base_local,Arquivo local,NA,75.67882537841797,68.14057159423828,32.47774887084961,25.687957763671875,2691,388,51,193,938,3264
Dinizia excelsa,Dinizia excelsa Ducke,-51.8,3.43,Inventario_ou_base_local,Arquivo local,NA,75.0655517578125,56.937232971191406,32.486000061035156,25.46404266357422,3153,500,78,280,1038,2158
Dinizia excelsa,Dinizia excelsa Ducke,-51.04,2.93,Inventario_ou_base_local,Arquivo local,NA,74.76756286621094,65.9004135131836,32.736751556396484,25.982500076293945,2743,392,40,163,1017,2714
Dinizia excelsa,Dinizia excelsa Ducke,-51.18,3.43,Inventario_ou_base_local,Arquivo local,NA,72.20857238769531,62.414608001708984,33.23524856567383,26.0488338470459,2964,419,53,213,1065,2161
Dinizia excelsa,Dinizia excelsa Ducke,-51.04,2.48,Inventario_ou_base_local,Arquivo local,NA,74.0407943725586,72.23548126220703,32.7130012512207,25.944292068481445,2665,388,43,162,957,3266
Dinizia excelsa,Dinizia excelsa Ducke,-51.31,2.16,Inventario_ou_base_local,Arquivo local,NA,74.86346435546875,72.06009674072266,32.4057502746582,25.753000259399418,2595,371,45,168,948,3633
Dinizia excelsa,Dinizia excelsa Ducke,-51.53,2.03,Inventario_ou_base_local,Arquivo local,NA,76.58323669433594,69.57140350341797,32.013248443603516,25.26224899291992,2574,362,52,192,921,3631
Dinizia excelsa,Dinizia excelsa Ducke,-52.18,1.22,Inventario_ou_base_local,Arquivo local,NA,79.15091705322266,66.46350860595703,32.052249908447266,25.377500534057617,2406,325,63,207,844,4547
Dinizia excelsa,Dinizia excelsa Ducke,-52.22,0.81,Inventario_ou_base_local,Arquivo local,NA,79.82855987548828,65.7359619140625,31.930500030517575,25.334583282470703,2395,324,61,207,844,5099
Dinizia excelsa,Dinizia excelsa Ducke,-51.93,2.93,Inventario_ou_base_local,Arquivo local,NA,75.55289459228516,59.46723556518555,32.35200119018555,25.339750289916992,2775,414,59,253,934,2709
Dinizia excelsa,Dinizia excelsa Ducke,-51.75,3.24,Inventario_ou_base_local,Arquivo local,NA,75.0606918334961,57.92072296142578,32.44050216674805,25.414125442504883,3002,463,72,257,1003,2342
Dinizia excelsa,Dinizia excelsa Ducke,-52.35,0.16,Inventario_ou_base_local,Arquivo local,NA,80.518951416015625,63.537132263183594,31.69824981689453,25.17191696166992,2397,318,52,195,857,5834
Dinizia excelsa,Dinizia excelsa Ducke,-52.95556944,1.018297222,Inventario_ou_base_local,Arquivo local,NA,80.78667449951172,63.070194244384766,31.513750076293945,24.8439998626709,2367,326,61,212,794,4727
Dinizia excelsa,Dinizia excelsa Ducke,-52.08,0.9,Inventario_ou_base_local,Arquivo local,NA,78.99652862548828,67.31892395019531,32.19874954223633,25.532291412353516,2404,331,65,210,851,4916
Dinizia excelsa,Dinizia excelsa Ducke,-52.08,1.26,Inventario_ou_base_local,Arquivo local,NA,78.92192840576172,67.700164794921875,32.138999938964844,25.45862579345703,2411,328,62,203,857,4548
Dinizia excelsa,Dinizia excelsa Ducke,-53.225626,0.77088,Inventario_ou_base_local,Arquivo local,NA,81.27461242675781,60.67563247680664,31.760250091552734,25.143333435058594,2324,329,60,212,785,5093
Dinizia excelsa,Dinizia excelsa Ducke,-52.384179,0.730238,Inventario_ou_base_local,Arquivo local,NA,80.150299072265625,65.02742004394531,31.780000686645508,25.176708221435547,2406,320,61,211,835,5098
Dinizia excelsa,Dinizia excelsa Ducke,-60.17,-2.63,Inventario_ou_base_local,Arquivo local,NA,82.4005355834961,43.955692291259766,31.808250427246097,26.222749710083008,2355,313,82,409,821,8731
Dinizia excelsa,Dinizia excelsa Ducke,-51.51,-1.73,Inventario_ou_base_local,Arquivo local,NA,83.68457794189453,48.858375549316406,32.18299865722656,25.774999618530273,2231,329,48,190,831,7863
